,Content,Category
0,",""While receiving an international call, if an Indian number or no number is displayed on your phone, please inform on the DoT tollfree number 1800110420/1963",OTP
1,",Non-violence is the greatest force at the disposal of mankind. It is mightier than the mightiest weapon of destruction.",OTP
2,",""इस गांधी जयंतीआइए, बापू को समर्पित करें एक स्वच्छ भारत।नरेन्द्र मोदी",OTP
3,",To call woman the weaker sex is a libel; it is man's injustice to woman.",OTP
4,",""I attach the highest importance to quality, irrespective almost of quantity. I plead for quality and quality alone.",OTP
5,",Nonviolence is the first article of my faith. It is also the last article of my creed.",OTP
6,",""Truth is the first thing to be sought for, and Beauty and Goodness will then be added unto you.",OTP
7,",""ਜੇਕਰ ਤੁਹਾਡੇ ਕੋਲ ਇੰਟਰਨੈਸ਼ਨਲ ਕਾਲ ਆਉਂਦੀ ਹੈ, ਜਿਸ ਵਿੱਚ ਦਿਖਾਇਆ ਗਿਆ ਨੰਬਰ ਭਾਰਤੀ ਹੈ ਜਾਂ ਕੋਈ ਵੀ ਨੰਬਰ ਦਿਖਾਈ ਨਹੀਂ ਦਿੰਦਾ ਤਾਂ ਕਿਰਪਾ ਕਰਕੇ ਇਸਦੀ ਜਾਣਕਾਰੀ DoT ਟੋਲਫ੍ਰੀ ਨੰਬਰ 1800110420/1963 ਤੇ ਦਿਓ",OTP
8,",Congratulations!Your Unlimited Pack is active.Special Offer Rs46=1GB for 28 days or Rs101=2GB for 28 days.Offer valid till Unlimited Pack validity.",OTP
9,",""Hi, Now you will enjoy Unlimited All Calls in Home and while roaming & 1.4GB/Day 3G/4G Data for 28 Days.",OTP
10,",""Recharge done;MRP: Rs.40, Talktime: Rs.30.90, Access Fee:  Rs 3,GST 18% ------   Low Balance? Recharge with Rs.50 on Vodafone number and get Full Talktime only on M-Pesa. Dial *400# ya Click https://goo.gl/eyWzn3------     Track your Usage, to download MyVodafone App, Click:  https://goo.gl/He2gmj",OTP
11,",""Recharge done;MRP: Rs.199, Talktime: Rs.0.00, Access Fee:  Rs 168.64,GST 18%Dear Customer, Your Tariff for Unlimited all calls+Roaming is now active till 2018-03-29.Dear Customer,100 SMS/Day benefit is now active on your number till 2018-03-29.Magic RC 94=11000to14000 Local/STD seconds validity 14to28 days. Check VODAFONE magic offer on *121#.------     Track your Usage, to download MyVodafone App, Click:  https://goo.gl/He2gmj",OTP
12,",Congratulations!Your Unlimited Pack is active.Special Offer Rs46=1GB for 28 days or Rs101=2GB for 28 days.Offer valid till Unlimited Pack validity.",OTP
13,",""Recharge done;MRP: Rs.199, Talktime: Rs.0.00, Access Fee:  Rs 168.64,GST 18%Magic RC 94=11000to14000 Local/STD seconds validity 14to28 days. Check VODAFO&C------     Track your Usage, to download MyVodafone App, Click:  https://goo.gl/He2gmj",OTP
14,",""Recharge done;MRP: Rs.50, Talktime: Rs.39.37, Access Fee:  Rs 3,GST 18% ------   Rs177=Unlimited* All Calls+Data (check quota on *121*349#),Val-28 Days;TNE magic offer on *121#.------     Track your Usage, to download MyVodafone App, Click:  https://goo.gl/He2gmj",OTP
15,",""Update request of your personal information for number 9646345471 is successfully submitted.If you have not requested this,SMS EKYC N to 53993 within 24 hours",OTP
16,",""Hi, Chota Credit of Rs.10 is added to your balance. Rs. 13 will be deducted on your next recharge. Please recharge with sufficient amount soon. Power to you!",OTP
17,",""Hi, the final recovery for Chota Credit is now complete. No dues left. Your Remaining balance is Rs 26.37 as on 27/04/18 08:36 PM. Power to you!",OTP
18,",""Recharge done;MRP: Rs.50, Talktime: Rs.39.37, Access Fee:  Rs 3,GST 18% ------   Rs177=Unlimited* All Calls+Data (check quota on *121*349#),Val-28 Days;T&C------     Track your Usage, to download MyVodafone App, Click:  https://goo.gl/He2gmj",OTP
19,",Congratulations!Your Unlimited Pack is active.Special Offer Rs46=1GB for 28 days or Rs101=2GB for 28 days.Offer valid till Unlimited Pack validity.",OTP
20,",""Recharge done;MRP: Rs.120, Talktime: Rs.120.00, Access Fee:  Rs 0,GST 18%Magic RC 94=11000to14000 Local/STD seconds validity 14to28 days. Check VODAFONE magic offer on *121#.------     Track your Usage, to download MyVodafone App, Click:  https://goo.gl/He2gmj",OTP
21,",""Recharge done;MRP: Rs.20, Talktime: Rs.14.95, Access Fee:  Rs 2,GST 18%Dial *121# to know your best offers",OTP
22,",""Hi, Chota Credit of Rs.10 is added to your balance. Rs. 13 will be deducted on your next recharge. Please recharge with sufficient amount soon. Power to you!",OTP
23,",""Recharge done;MRP: Rs.50, Talktime: Rs.39.37, Access Fee:  Rs 3,GST 18%Dial *121# to know your best offers",OTP
